tissue_id	label
tissue_1038	Ovary
tissue_890	Ovary
tissue_846	Ovary
tissue_771	Uterus
tissue_218	Colon and Rectum
tissue_267	Ovary
tissue_916	Ovary
tissue_317	Ovary
tissue_609	Ovary
tissue_147	Colon and Rectum
tissue_464	Ovary
tissue_461	Ovary
tissue_1081	Lung
tissue_684	Lung
tissue_668	Breast
tissue_674	Lung
tissue_405	Ovary
tissue_88	Myeloid Lineage
tissue_878	Pancreas and Gallbladder
tissue_926	Kidney
tissue_591	Bladder and Urothelial Tract
tissue_98	Bladder and Urothelial Tract
tissue_620	Bladder and Urothelial Tract
tissue_770	Kidney
tissue_958	Breast
tissue_870	Plasma Cell Lineage
tissue_694	Plasma Cell Lineage
tissue_711	Plasma Cell Lineage
tissue_900	Kidney
tissue_38	Stomach and Esophagus
tissue_955	Lung
tissue_413	Myeloid Lineage
tissue_336	Lung
tissue_435	Ovary
tissue_887	Lung
tissue_301	Ovary
tissue_898	Stomach and Esophagus
tissue_422	Stomach and Esophagus
tissue_423	Stomach and Esophagus
tissue_763	Bladder and Urothelial Tract
tissue_860	Bladder and Urothelial Tract
tissue_349	Bladder and Urothelial Tract
tissue_564	Bladder and Urothelial Tract
tissue_662	Lung
tissue_11	Myeloid Lineage
tissue_502	Bladder and Urothelial Tract
tissue_897	Breast
tissue_581	Myeloid Lineage
tissue_25	Plasma Cell Lineage
tissue_789	Kidney
tissue_476	Myeloid Lineage
tissue_735	Ovary
tissue_673	Uterus
tissue_704	Ovary
tissue_142	Ovary
tissue_990	Myeloid Lineage
tissue_21	Myeloid Lineage
tissue_647	Lymphoid Lineage
tissue_465	Lymphoid Lineage
tissue_1028	Lymphoid Lineage
tissue_565	Myeloid Lineage
tissue_48	Colon and Rectum
tissue_645	Colon and Rectum
tissue_91	Colon and Rectum
tissue_523	Colon and Rectum
tissue_162	Colon and Rectum
tissue_58	Plasma Cell Lineage
tissue_272	Colon and Rectum
tissue_995	Colon and Rectum
tissue_501	Colon and Rectum
tissue_851	Breast
tissue_608	Kidney
tissue_741	Plasma Cell Lineage
tissue_884	Kidney
tissue_877	Breast
tissue_703	Stomach and Esophagus
tissue_685	Myeloid Lineage
tissue_215	Ovary
tissue_536	Lymphoid Lineage
tissue_73	Anus
tissue_635	Anus
tissue_232	Anus
tissue_386	Anus
tissue_95	Pancreas and Gallbladder
tissue_154	Pancreas and Gallbladder
tissue_470	Pancreas and Gallbladder
tissue_882	Pancreas and Gallbladder
tissue_751	Lymphoid Lineage
tissue_292	Lymphoid Lineage
tissue_377	Lymphoid Lineage
tissue_179	Colon and Rectum
tissue_904	Colon and Rectum
tissue_544	Stomach and Esophagus
tissue_57	Colon and Rectum
tissue_22	Colon and Rectum
tissue_814	Stomach and Esophagus
tissue_326	Colon and Rectum
tissue_282	Colon and Rectum
tissue_389	Colon and Rectum
tissue_180	Kidney
tissue_925	Kidney
tissue_1079	Lung
tissue_556	Bladder and Urothelial Tract
tissue_570	Breast
tissue_119	Myeloid Lineage
tissue_359	Myeloid Lineage
tissue_527	Myeloid Lineage
tissue_143	Lymphoid Lineage
tissue_420	Myeloid Lineage
tissue_94	Lymphoid Lineage
tissue_646	Liver and Bile Duct
