label_w_size	n	region_size_mb
Lung (N=99)	856	31.291716
Lung (N=99)	553	31.291716
Lung (N=99)	1967	31.291716
Lung (N=99)	3037	31.291716
Lung (N=99)	1786	31.291716
Lung (N=99)	1070	31.291716
Lung (N=99)	3210	31.291716
Lung (N=99)	989	31.291716
Lung (N=99)	1509	31.291716
Lung (N=99)	7027	31.291716
Lung (N=99)	907	31.291716
Lung (N=99)	1552	31.291716
Lung (N=99)	688	31.291716
Lung (N=99)	1071	31.291716
Lung (N=99)	3207	31.291716
Lung (N=99)	650	31.291716
Lung (N=99)	550	31.291716
Lung (N=99)	1094	31.291716
Lung (N=99)	2282	31.291716
Lung (N=99)	1290	31.291716
Lung (N=99)	301	31.291716
Lung (N=99)	2331	31.291716
Lung (N=99)	1002	31.291716
Lung (N=99)	3012	31.291716
Lung (N=99)	2657	31.291716
Lung (N=99)	1993	31.291716
Lung (N=99)	250	31.291716
Lung (N=99)	1547	31.291716
Lung (N=99)	1951	31.291716
Lung (N=99)	3246	31.291716
Lung (N=99)	1267	31.291716
Lung (N=99)	2069	31.291716
Lung (N=99)	1173	31.291716
Lung (N=99)	1732	31.291716
Lung (N=99)	929	31.291716
Lung (N=99)	1442	31.291716
Lung (N=99)	840	31.291716
Lung (N=99)	2745	31.291716
Lung (N=99)	3053	31.291716
Lung (N=99)	580	31.291716
Lung (N=99)	1558	31.291716
Lung (N=99)	771	31.291716
Lung (N=99)	1923	31.291716
Lung (N=99)	1861	31.291716
Lung (N=99)	447	31.291716
Lung (N=99)	3379	31.291716
Lung (N=99)	1104	31.291716
Lung (N=99)	1075	31.291716
Lung (N=99)	3033	31.291716
Lung (N=99)	1485	31.291716
Lung (N=99)	454	31.291716
Lung (N=99)	989	31.291716
Lung (N=99)	2490	31.291716
Lung (N=99)	1264	31.291716
Lung (N=99)	2345	31.291716
Lung (N=99)	1479	31.291716
Lung (N=99)	3158	31.291716
Lung (N=99)	821	31.291716
Lung (N=99)	960	31.291716
Lung (N=99)	1514	31.291716
Lung (N=99)	795	31.291716
Lung (N=99)	2981	31.291716
Lung (N=99)	6394	31.291716
Lung (N=99)	6424	31.291716
Lung (N=99)	4558	31.291716
Lung (N=99)	3960	31.291716
Lung (N=99)	3636	31.291716
Lung (N=99)	3965	31.291716
Lung (N=99)	8778	31.291716
Lymphoid Lineage (N=95)	17247	31.291716
Lymphoid Lineage (N=95)	20930	31.291716
Lymphoid Lineage (N=95)	224	31.291716
Lymphoid Lineage (N=95)	13451	31.291716
Lymphoid Lineage (N=95)	18795	31.291716
Lymphoid Lineage (N=95)	4441	31.291716
Lymphoid Lineage (N=95)	1380	31.291716
Lymphoid Lineage (N=95)	10098	31.291716
Lymphoid Lineage (N=95)	18229	31.291716
Lymphoid Lineage (N=95)	17052	31.291716
Lymphoid Lineage (N=95)	31341	31.291716
Lymphoid Lineage (N=95)	8359	31.291716
Lymphoid Lineage (N=95)	15609	31.291716
Lymphoid Lineage (N=95)	1479	31.291716
Lymphoid Lineage (N=95)	99	31.291716
Lymphoid Lineage (N=95)	9407	31.291716
Lymphoid Lineage (N=95)	14886	31.291716
Lymphoid Lineage (N=95)	22664	31.291716
Lymphoid Lineage (N=95)	131	31.291716
Lymphoid Lineage (N=95)	10100	31.291716
Lymphoid Lineage (N=95)	2087	31.291716
Lymphoid Lineage (N=95)	4667	31.291716
Lymphoid Lineage (N=95)	2296	31.291716
Lymphoid Lineage (N=95)	482	31.291716
Lymphoid Lineage (N=95)	12391	31.291716
Lymphoid Lineage (N=95)	4775	31.291716
